CustomerID,Total_Revenue,Customer_Size
12346.0,0.0,Small
12347.0,4310.0,Medium
12348.0,1797.24,Small
12349.0,1757.55,Small
12350.0,334.4,Small
12352.0,1545.41,Small
12353.0,89.0,Small
12354.0,1079.4,Small
12355.0,459.4,Small
12356.0,2811.43,Small
12357.0,6207.67,Medium
12358.0,1168.06,Small
12359.0,6245.53,Medium
12360.0,2662.06,Small
12361.0,189.9,Small
12362.0,5154.58,Medium
12363.0,552.0,Small
12364.0,1313.1,Small
12365.0,320.69,Small
12367.0,168.9,Small
12370.0,3545.69,Medium
12371.0,1887.96,Small
12372.0,1298.04,Small
12373.0,364.6,Small
12374.0,742.93,Small
12375.0,455.42,Small
12377.0,1628.12,Small
12378.0,4008.62,Medium
12379.0,850.29,Small
12380.0,2720.56,Small
12381.0,1803.96,Small
12383.0,1839.31,Small
12384.0,566.16,Small
12386.0,401.9,Small
12388.0,2780.66,Small
12390.0,549.84,Small
12391.0,460.89,Small
12393.0,1582.6,Small
12394.0,1272.48,Small
12395.0,2998.28,Small
12397.0,2409.9,Small
12398.0,1635.66,Small
12399.0,1108.65,Small
12401.0,84.3,Small
12402.0,225.6,Small
12403.0,409.7,Small
12405.0,1710.39,Small
12406.0,3280.75,Small
12407.0,1708.12,Small
12408.0,2842.57,Small
12409.0,11056.93,Medium
12410.0,681.08,Small
12412.0,1226.88,Small
12413.0,694.15,Small
12414.0,562.41,Small
12415.0,123725.45,Large
12417.0,3578.8,Medium
12418.0,668.58,Small
12420.0,600.39,Small
12421.0,806.27,Small
12422.0,803.56,Small
12423.0,1849.11,Small
12424.0,1760.96,Small
12425.0,777.2,Small
12426.0,582.73,Small
12427.0,708.37,Small
12428.0,7877.2,Medium
12429.0,3750.4,Medium
12430.0,256.4,Small
12431.0,6416.39,Medium
12432.0,5059.32,Medium
12433.0,13375.87,Medium
12434.0,765.19,Small
12435.0,7829.89,Medium
12436.0,509.01,Small
12437.0,4896.66,Medium
12438.0,2906.85,Small
12441.0,173.55,Small
12442.0,172.06,Small
12444.0,5005.46,Medium
12445.0,133.4,Small
12446.0,1002.31,Small
12447.0,476.49,Small
12448.0,449.45,Small
12449.0,4067.29,Medium
12450.0,197.88,Small
12451.0,8933.52,Medium
12452.0,428.57,Small
12453.0,707.09,Small
12454.0,0.0,Small
12455.0,2466.86,Small
12456.0,3153.89,Small
12457.0,1917.78,Small
12458.0,947.4,Small
12461.0,826.88,Small
12462.0,1124.01,Small
12463.0,1303.63,Small
12464.0,1212.05,Small
12465.0,733.89,Small
12468.0,724.04,Small
12471.0,18740.92,Medium
12472.0,6229.48,Medium
12473.0,2848.23,Small
12474.0,7116.47,Medium
12475.0,723.38,Small
12476.0,6546.58,Medium
12477.0,13117.01,Medium
12478.0,680.99,Small
12479.0,477.3,Small
12480.0,3281.63,Small
12481.0,5590.86,Medium
12483.0,2327.13,Small
12484.0,4495.27,Medium
12488.0,1298.66,Small
12489.0,334.93,Small
12490.0,5417.93,Medium
12491.0,460.4,Small
12492.0,263.21,Small
12493.0,416.79,Small
12494.0,1139.35,Small
12497.0,1043.1,Small
12498.0,403.7,Small
12500.0,4206.27,Medium
12501.0,2089.68,Small
12502.0,3723.87,Medium
12503.0,-1126.0,Small
12504.0,114.0,Small
12505.0,-4.5,Small
12506.0,73.5,Small
12507.0,1258.06,Small
12508.0,398.27,Small
12509.0,176.5,Small
12510.0,982.57,Small
12512.0,138.03,Small
12513.0,586.79,Small
12514.0,1017.68,Small
12515.0,383.7,Small
12516.0,1312.06,Small
12517.0,2464.89,Small
12518.0,2056.89,Small
12519.0,340.84,Small
12520.0,2582.51,Small
12521.0,599.68,Small
12522.0,192.72,Small
12523.0,1745.57,Small
12524.0,4485.72,Medium
12526.0,1316.66,Small
12527.0,348.71,Small
12528.0,1922.28,Small
12530.0,1623.63,Small
12531.0,125.22,Small
12532.0,349.83,Small
12534.0,1089.18,Small
12535.0,716.35,Small
12536.0,4106.82,Medium
12538.0,363.95,Small
12539.0,3852.5,Medium
12540.0,13309.04,Medium
12541.0,981.18,Small
12544.0,355.7,Small
12545.0,1000.39,Small
12546.0,1141.5,Small
12547.0,207.8,Small
12548.0,95.2,Small
12550.0,964.83,Small
12551.0,168.0,Small
12552.0,437.82,Small
12553.0,3652.25,Medium
12556.0,603.71,Small
12557.0,11990.96,Medium
12558.0,0.0,Small
12559.0,536.21,Small
12560.0,2101.39,Small
12561.0,238.85,Small
12562.0,3781.74,Medium
12564.0,456.9,Small
12565.0,131.17,Small
12566.0,346.7,Small
12567.0,9114.94,Medium
12569.0,4064.99,Medium
12571.0,519.61,Small
12572.0,1004.72,Small
12573.0,160.54,Small
12574.0,218.45,Small
12576.0,1306.98,Small
12577.0,595.4,Small
12578.0,2753.36,Small
12579.0,410.72,Small
12580.0,415.7,Small
12581.0,197.71,Small
12582.0,511.36,Small
12583.0,7187.34,Medium
12584.0,1893.95,Small
12585.0,1982.81,Small
12586.0,179.94,Small
12587.0,144.0,Small
12588.0,214.9,Small
12589.0,646.68,Small
12590.0,9861.38,Medium
12591.0,452.85,Small
12592.0,437.6,Small
12593.0,418.1,Small
12594.0,3320.22,Small
12596.0,618.27,Small
12597.0,3683.13,Medium
12598.0,3002.68,Small
12599.0,1032.58,Small
12600.0,2581.04,Small
12601.0,569.56,Small
12602.0,153.12,Small
12603.0,739.2,Small
12604.0,254.18,Small
12605.0,-7.5,Small
12607.0,0.0,Small
12609.0,1126.85,Small
12610.0,2057.99,Small
12611.0,1193.32,Small
12612.0,643.59,Small
12613.0,3218.98,Small
12614.0,315.6,Small
12615.0,2291.19,Small
12616.0,657.25,Small
12617.0,355.53,Small
12618.0,177.31,Small
