CustomerID,StockCode,Total_Revenue,Total_Quantity,Average_Unit_Price
12346.0,23166,0.0,0,
12347.0,16008,6.0,24,0.25
12347.0,17021,10.8,36,0.3
12347.0,20665,17.7,6,2.95
12347.0,20719,34.0,40,0.85
12347.0,20780,55.8,12,4.65
12347.0,20782,32.94,6,5.49
12347.0,20966,12.5,10,1.25
12347.0,21035,17.7,6,2.95
12347.0,21041,35.4,12,2.95
12347.0,21064,65.7,30,2.19
12347.0,21154,12.5,10,1.25
12347.0,21171,17.4,12,1.45
12347.0,21265,46.8,24,1.95
12347.0,21578,13.5,6,2.25
12347.0,21636,9.0,12,0.75
12347.0,21731,118.8,72,1.65
12347.0,21791,60.0,48,1.25
12347.0,21832,19.8,12,1.65
12347.0,21975,26.4,48,0.55
12347.0,21976,26.4,48,0.55
12347.0,22131,11.7,6,1.95
12347.0,22134,5.04,12,0.42
12347.0,22195,79.2,48,1.65
12347.0,22196,61.2,72,0.85
12347.0,22212,12.6,6,2.1
12347.0,22252,15.0,12,1.25
12347.0,22371,132.4,32,4.14
12347.0,22372,34.0,8,4.25
12347.0,22374,68.0,16,4.25
12347.0,22375,119.0,28,4.25
12347.0,22376,51.0,12,4.25
12347.0,22417,26.4,48,0.55
12347.0,22422,7.8,12,0.65
12347.0,22423,191.25,15,12.75
12347.0,22432,11.7,6,1.95
12347.0,22492,70.2,108,0.65
12347.0,22494,15.0,12,1.25
12347.0,22497,51.0,12,4.25
12347.0,22550,30.0,8,3.75
12347.0,22561,19.8,12,1.65
12347.0,22621,19.8,12,1.65
12347.0,22697,35.4,12,2.95
12347.0,22698,35.4,12,2.95
12347.0,22699,70.8,24,2.95
12347.0,22725,75.0,20,3.75
12347.0,22726,60.0,16,3.75
12347.0,22727,135.0,36,3.75
12347.0,22728,60.0,16,3.75
12347.0,22729,30.0,8,3.75
12347.0,22771,15.0,12,1.25
12347.0,22772,15.0,12,1.25
12347.0,22773,15.0,12,1.25
12347.0,22774,30.0,24,1.25
12347.0,22775,15.0,12,1.25
12347.0,22805,15.0,12,1.25
12347.0,22821,7.8,12,0.65
12347.0,22945,10.2,12,0.85
12347.0,22992,46.8,24,1.95
12347.0,23076,249.6,240,1.04
12347.0,23084,153.84,84,1.83
12347.0,23146,52.64,16,3.29
12347.0,23147,17.4,12,1.45
12347.0,23162,60.0,16,3.75
12347.0,23170,19.8,12,1.65
12347.0,23171,19.8,12,1.65
12347.0,23172,19.8,12,1.65
12347.0,23173,39.8,4,9.95
12347.0,23174,16.6,4,4.15
12347.0,23175,26.0,8,3.25
12347.0,23177,36.0,16,2.25
12347.0,23271,13.28,16,0.83
12347.0,23297,26.4,16,1.65
12347.0,23308,26.4,48,0.55
12347.0,23316,97.8,12,8.15
12347.0,23420,24.96,12,2.08
12347.0,23421,24.96,12,2.08
12347.0,23422,24.96,12,2.08
12347.0,23480,45.0,12,3.75
12347.0,23497,17.4,12,1.45
12347.0,23503,15.0,12,1.25
12347.0,23506,16.8,40,0.42
12347.0,23508,16.8,40,0.42
12347.0,23552,12.48,6,2.08
12347.0,47559B,37.5,30,1.25
12347.0,47567B,35.7,6,5.95
12347.0,47580,15.3,6,2.55
12347.0,51014C,10.2,12,0.85
12347.0,71477,39.0,12,3.25
12347.0,84558A,371.7,126,2.95
12347.0,84559A,10.2,12,0.85
12347.0,84559B,10.2,12,0.85
12347.0,84625A,40.8,48,0.85
12347.0,84625C,20.4,24,0.85
12347.0,84969,51.0,12,4.25
12347.0,84991,39.6,72,0.55
12347.0,84992,39.6,72,0.55
12347.0,84997B,22.5,6,3.75
12347.0,84997C,22.5,6,3.75
12347.0,84997D,22.5,6,3.75
12347.0,85116,37.8,18,2.1
12347.0,85167B,37.5,30,1.25
12347.0,85178,15.0,12,1.25
12347.0,85232D,14.85,3,4.95
12348.0,21211,104.4,72,1.45
12348.0,21213,63.6,144,0.44
12348.0,21725,40.8,48,0.85
12348.0,21726,20.4,24,0.85
12348.0,21967,41.76,144,0.29
12348.0,21977,63.6,144,0.44
12348.0,21980,41.76,144,0.29
12348.0,21981,41.76,144,0.29
12348.0,21982,41.76,144,0.29
12348.0,21983,41.76,144,0.29
12348.0,21985,41.76,144,0.29
12348.0,22437,17.0,20,0.85
12348.0,22616,20.88,72,0.29
12348.0,22951,39.6,72,0.55
12348.0,22952,63.6,144,0.44
12348.0,23076,90.0,72,1.25
12348.0,23077,250.0,200,1.25
12348.0,23078,240.0,192,1.25
12348.0,84988,69.6,48,1.45
12348.0,84991,63.6,144,0.44
12348.0,84992,39.6,72,0.55
12348.0,POST,360.0,9,40.0
12349.0,20685,49.5,6,8.25
12349.0,20914,17.7,6,2.95
12349.0,21086,7.8,12,0.65
12349.0,21136,27.04,16,1.69
12349.0,21231,45.0,36,1.25
12349.0,21232,45.0,36,1.25
12349.0,21411,12.75,3,4.25
12349.0,21531,15.3,6,2.55
12349.0,21533,14.85,3,4.95
12349.0,21535,15.3,6,2.55
12349.0,21563,17.7,6,2.95
12349.0,21564,17.7,6,2.95
12349.0,21787,20.4,24,0.85
12349.0,22059,17.88,12,1.49
12349.0,22064,19.8,12,1.65
12349.0,22070,22.5,6,3.75
12349.0,22071,22.5,6,3.75
12349.0,22131,11.7,6,1.95
12349.0,22195,19.8,12,1.65
12349.0,22326,17.7,6,2.95
12349.0,22333,13.2,8,1.65
12349.0,22423,12.75,1,12.75
12349.0,22430,19.8,4,4.95
12349.0,22441,16.8,8,2.1
12349.0,22553,19.8,12,1.65
12349.0,22554,19.8,12,1.65
12349.0,22555,19.8,12,1.65
12349.0,22556,19.8,12,1.65
12349.0,22557,19.8,12,1.65
12349.0,22567,17.4,12,1.45
12349.0,22601,10.2,12,0.85
12349.0,22666,17.7,6,2.95
12349.0,22692,33.0,4,8.25
12349.0,22704,10.5,25,0.42
12349.0,22720,14.85,3,4.95
12349.0,22722,15.8,4,3.95
12349.0,22832,21.5,2,10.75
12349.0,22960,25.5,6,4.25
12349.0,23020,12.5,1,12.5
12349.0,23108,12.5,2,6.25
12349.0,23112,15.0,2,7.5
12349.0,23113,14.85,3,4.95
12349.0,23198,17.4,12,1.45
12349.0,23236,17.34,6,2.89
12349.0,23240,24.9,6,4.15
12349.0,23253,63.8,4,15.95
12349.0,23263,15.0,12,1.25
12349.0,23273,19.8,12,1.65
12349.0,23283,16.5,2,8.25
12349.0,23293,6.64,8,0.83
12349.0,23294,6.64,8,0.83
12349.0,23295,6.64,8,0.83
12349.0,23296,10.0,8,1.25
12349.0,23439,25.2,12,2.1
12349.0,23460,19.9,2,9.95
12349.0,23493,19.5,10,1.95
12349.0,23494,17.85,3,5.95
12349.0,23497,17.4,12,1.45
12349.0,23514,12.48,6,2.08
12349.0,23545,10.5,25,0.42
12349.0,35970,20.28,12,1.69
12349.0,37448,17.88,12,1.49
12349.0,37500,59.4,12,4.95
12349.0,47504H,9.48,12,0.79
12349.0,48184,49.5,6,8.25
12349.0,48185,33.0,4,8.25
12349.0,48194,16.5,2,8.25
12349.0,84078A,39.95,1,39.95
12349.0,84978,15.0,12,1.25
12349.0,85014A,17.85,3,5.95
12349.0,85014B,17.85,3,5.95
12349.0,85053,12.6,6,2.1
12349.0,POST,300.0,1,300.0
12350.0,20615,25.2,12,2.1
12350.0,20652,15.0,12,1.25
12350.0,21171,17.4,12,1.45
12350.0,21832,19.8,12,1.65
12350.0,21864,25.2,12,2.1
12350.0,21866,15.0,12,1.25
12350.0,21908,25.2,12,2.1
12350.0,21915,15.0,12,1.25
12350.0,22348,20.4,24,0.85
12350.0,22412,25.2,12,2.1
12350.0,22551,19.8,12,1.65
12350.0,22557,19.8,12,1.65
12350.0,22620,15.0,12,1.25
12350.0,79066K,8.5,10,0.85
12350.0,79191C,10.2,12,0.85
12350.0,84086C,17.7,6,2.95
12350.0,POST,40.0,1,40.0
12352.0,21232,15.0,12,1.25
12352.0,21314,16.8,8,2.1
12352.0,21380,17.7,6,2.95
12352.0,21669,17.4,12,1.45
12352.0,21700,10.2,12,0.85
12352.0,21731,19.8,12,1.65
12352.0,21754,17.85,3,5.95
12352.0,21755,36.6,6,6.1
12352.0,21756,36.6,6,6.1
12352.0,21770,9.9,2,4.95
12352.0,21914,15.0,12,1.25
12352.0,22064,19.8,12,1.65
12352.0,22120,29.85,3,9.95
12352.0,22138,14.85,3,4.95
12352.0,22178,11.7,6,1.95
12352.0,22413,17.7,6,2.95
12352.0,22423,63.75,5,12.75
12352.0,22550,15.0,4,3.75
12352.0,22617,14.85,3,4.95
12352.0,22624,34.0,4,8.5
12352.0,22627,17.0,2,8.5
12352.0,22630,23.4,12,1.95
12352.0,22634,19.9,2,9.95
12352.0,22635,39.8,4,9.95
12352.0,22645,17.4,12,1.45
12352.0,22646,17.4,12,1.45
12352.0,22654,53.55,9,5.95
12352.0,22668,14.75,5,2.95
12352.0,22692,16.5,2,8.25
12352.0,22701,17.7,6,2.95
12352.0,22720,29.7,6,4.95
12352.0,22722,15.8,4,3.95
